delta,target_r2,mean_structural_kappa,median_structural_kappa,mean_kappa_star,mean_abs_bias,median_abs_bias,std_abs_bias,mean_bias,coverage,mc_se,mean_se,mean_rmse_m,mean_rmse_l,n_reps,kappa_times_delta,bias_to_se_ratio,regime
0.0,0.5,1.99603991118656,1.9944061867826268,1.99603991118656,0.010787171646225885,0.009106052843365298,0.008212414464497565,0.001530236606888581,0.96,0.013513583210506112,0.015829547943108452,0.0,0.0,100,0.0,0.11323692488154447,well-conditioned
0.0,0.75,3.995246191164028,3.9935468472482625,3.995246191164028,0.024897726277636634,0.02157467943347613,0.01928700571950969,0.00011133659535583429,0.9,0.03159326551571194,0.027454502162297566,0.0,0.0,100,0.0,0.003524061015486495,well-conditioned
0.0,0.9,10.028108568928545,9.947710962128077,10.028108568928545,0.042448821286273565,0.03943865781399125,0.029487736339717192,0.0016051545697246383,0.96,0.05183654609450391,0.04743233494995784,0.0,0.0,100,0.0,0.030965692945634518,moderately ill-conditioned
0.0,0.95,19.993827233860458,20.00301454810444,19.993827233860458,0.05502372702640541,0.04936203609117895,0.04397680667367354,-0.005920711093787124,0.96,0.07040414104830266,0.06879844495248667,0.0,0.0,100,0.0,0.08409606318078734,severely ill-conditioned
0.0,0.97,33.309257453139764,33.308592052301954,33.309257453139764,0.07493418553927769,0.0686688970740485,0.051028313624090015,-0.010281594950957356,0.95,0.09038230178449366,0.08983333770266032,0.0,0.0,100,0.0,0.1137567283412703,severely ill-conditioned
0.0,0.99,99.27260407673919,99.17332294610873,99.27260407673919,0.13770007411373153,0.12092088746661572,0.10186253026496256,0.014225606475607994,0.93,0.1712436914788452,0.1569746087498659,0.0,0.0,100,0.0,0.0830722951178927,severely ill-conditioned
0.02,0.5,2.0047208291063314,2.006265082366764,2.004128562525633,0.012028727513643594,0.009729076169167628,0.009385792009730573,-3.9360645712952504e-05,0.97,0.015305009976286239,0.015818730254161487,0.028239169293297915,0.06687259388186813,100,0.040125301647335285,0.0025717491052889446,well-conditioned
0.02,0.75,3.994023003772597,3.985724447511304,3.989458312145586,0.023118382307334408,0.019566061755909026,0.01726949423316385,0.004933396249045145,0.93,0.028522085695842383,0.027443603584020905,0.028191908062083222,0.06673952035142294,100,0.07971448895022608,0.17296758384553476,well-conditioned
0.02,0.9,9.986372721233227,9.989466166272543,9.954660220096399,0.03349937049889755,0.02785650606694895,0.026016215648206362,0.013172223812671977,0.98,0.04043669932201833,0.0472707456120121,0.02821628998446549,0.06660855587686751,100,0.19978932332545085,0.32574923358048474,moderately ill-conditioned
0.02,0.95,20.072182254102323,19.922516587121038,19.926415593570255,0.0545272063269795,0.040529940842758905,0.04518092324650622,-0.003063447776137733,0.95,0.07095833309098375,0.06859411931053269,0.028296126313845402,0.06692287262460421,100,0.3984503317424208,0.043172487891023854,moderately ill-conditioned
0.02,0.97,33.45824453041272,33.28635988237047,33.05515166070252,0.06659513042324876,0.05614075826195164,0.05404886901870777,0.004066861047332127,0.95,0.08593184683277515,0.08951016530745552,0.028268760789396996,0.0669380821892765,100,0.6657271976474094,0.047326587257531055,severely ill-conditioned
0.02,0.99,99.64937113570774,99.57010329155639,95.78185052522745,0.11313192094468594,0.09795726554536255,0.08513588135770755,0.03869496934608724,0.95,0.1366155410489936,0.1544008200139252,0.028169380605480306,0.06660108165269431,100,1.991402065831128,0.2832398792185019,severely ill-conditioned
0.05,0.5,2.011127162837729,2.0073787454364203,2.007100360382673,0.01370391282436867,0.012576945697962583,0.009942245752699875,0.002659814435432829,0.93,0.016774872441309024,0.016006249595482972,0.0704937489573722,0.16664751890405832,100,0.10036893727182102,0.1585594432827336,well-conditioned
0.05,0.75,3.975217802283757,3.980707348573949,3.946000998426764,0.023043906022032927,0.018741672499863415,0.018686010906063474,0.008588806178372033,0.91,0.028478759526532255,0.027409999884044432,0.07047470120465828,0.16676905026178623,100,0.19903536742869746,0.30158638652678205,well-conditioned
0.05,0.9,10.090425668029383,10.097266600923337,9.874360758849763,0.03565608844800991,0.028741378243679727,0.02820504023836502,0.013202904434184122,0.97,0.043630785741927657,0.047674130786423276,0.07061358291935654,0.16682350852019515,100,0.5048633300461669,0.30260524099378283,moderately ill-conditioned
0.05,0.95,20.001045889981103,20.02119729898195,19.104721525327808,0.06219906362115564,0.055677772934063174,0.04625503770866223,0.033534985546019414,0.92,0.07008120461633834,0.06773743741977045,0.07065848959915358,0.16790152801095343,100,1.0010598649490976,0.47851611183922566,severely ill-conditioned
0.05,0.97,33.40855711803981,33.33192232838374,30.874580451417195,0.08282298883126654,0.0801298001421551,0.05762956669175167,0.04140869775036207,0.92,0.09229357265052372,0.08754289399114734,0.07050596877436668,0.16706426084667328,100,1.6665961164191871,0.4486628544238839,severely ill-conditioned
0.05,0.99,99.21049598169908,99.37991715695586,79.65647450137192,0.15007352620571748,0.13208703748874484,0.09320331390605856,0.11078425371099229,0.88,0.1379829499910754,0.1428908719799747,0.07054299742846315,0.1665338400428491,100,4.968995857847793,0.8028836440890538,severely ill-conditioned
0.1,0.5,1.9897695634574857,1.9888649709909374,1.9688405175658148,0.014738606678681019,0.012152528184161016,0.011099357661064365,0.007465901133915488,0.93,0.016920808723264364,0.016288193353580692,0.1409307970895232,0.3327558087825468,100,0.19888649709909376,0.4412260227048513,well-conditioned
0.1,0.75,4.006175915730722,4.0150076317274745,3.890517288884496,0.02367897072752309,0.019916905119043926,0.018238723092308014,0.012550477566472817,0.92,0.027201152630915666,0.028043123354252894,0.14141642201921265,0.33459279543974785,100,0.40150076317274747,0.4613950642741691,well-conditioned
0.1,0.9,10.013946409094308,9.913597090997335,9.164774676592305,0.05240256288317026,0.05171830783915066,0.03460250368586266,0.04146495957499874,0.87,0.04726932989126099,0.047205930531039914,0.1412064629634434,0.3343382596940653,100,0.9913597090997336,0.8772064184194127,moderately ill-conditioned
0.1,0.95,19.963182398105275,19.968380797255726,16.817340950076858,0.08665776530463881,0.077740043685534,0.06259431434828784,0.08309682511879547,0.8,0.06729517107576365,0.06605561852931811,0.14093496533836614,0.33246899985279826,100,1.9968380797255727,1.2348111133448443,moderately ill-conditioned
0.1,0.97,33.41661313519947,33.61905438126803,25.246909664370193,0.13077620061199421,0.11802925221152549,0.07810101536115958,0.12747799257374845,0.66,0.0834275041869536,0.08245771904497115,0.14118755753113385,0.33400515209206183,100,3.361905438126803,1.5280091837349181,severely ill-conditioned
0.1,0.99,100.14107134450626,100.3582914885783,50.461999813753174,0.2818384277679815,0.27850387881920247,0.1157028747856661,0.2813820172914178,0.38,0.11681956817311204,0.1198548074469913,0.14119862441047204,0.333548226108061,100,10.03582914885783,2.4086890723174457,severely ill-conditioned
0.2,0.5,1.995279014384837,1.9995296837700862,1.9208256079783186,0.021308604462256506,0.02125317150130246,0.012355313500020552,0.019663861300488333,0.82,0.014856771297454182,0.017721075440277206,0.28146591179383795,0.6644917100413492,100,0.39990593675401725,1.3235622267307756,well-conditioned
0.2,0.75,4.024013621015635,4.028423635695745,3.5960745252926984,0.06248800230634043,0.06516635855903441,0.028558963120126176,0.06184721734240622,0.4,0.02993478382782006,0.030163986648343178,0.2825789195628987,0.6686125465295655,100,0.8056847271391491,2.06606527370103,well-conditioned
0.2,0.9,9.960705443408186,9.929544780000757,7.331871638626488,0.13863085925204297,0.14704623264430505,0.04300807408256269,0.13863085925204297,0.18,0.043008074082562714,0.049024596073873605,0.28150883994591547,0.6652185162433462,100,1.9859089560001515,3.2233682211836068,moderately ill-conditioned
0.2,0.95,19.980854122867143,19.979690989599654,11.326835485743366,0.22063784617841617,0.2172052069509457,0.061349237996230835,0.22063784617841617,0.06,0.06134923799623084,0.06436905497741865,0.2824566470538288,0.6693121039625974,100,3.995938197919931,3.59642358054996,moderately ill-conditioned
0.2,0.97,33.08771055598673,32.96662483511833,14.461607559277551,0.31303167268114507,0.31471191278247324,0.07374896242505004,0.31303167268114507,0.01,0.07374896242505001,0.07546026980725333,0.28194924024208246,0.6676800705615576,100,6.593324967023666,4.244556972571303,severely ill-conditioned
0.2,0.99,99.21625701123658,99.57168940264097,20.099780635003427,0.4197929388013702,0.4173011140044972,0.09264341576636356,0.4197929388013702,0.0,0.09264341576636353,0.09387229570489496,0.28167254525939767,0.665589443582476,100,19.914337880528194,4.531276565406889,severely ill-conditioned
